BioImpReal,BioImpImaginary,PacketCounter,TimeStamp
-548.4191284179688,-419.42047119140625,83,1690500754.866135
-589.7817993164062,-427.22515869140625,84,1690500755.4665256
-640.2142333984375,-429.22198486328125,85,1690500756.066481
-689.7631225585938,-430.71685791015625,86,1690500756.6667156
-686.8363037109375,-399.34002685546875,87,1690500757.2660244
-729.4833374023438,-386.6519470214844,88,1690500757.8663206
-760.5436401367188,-374.1309509277344,89,1690500758.4661005
-794.6103515625,-358.9739074707031,90,1690500759.0671382
-829.7136840820312,-336.8822021484375,91,1690500759.6660028
-859.51904296875,-313.3390197753906,92,1690500760.2670233
-875.574462890625,-289.97686767578125,93,1690500760.866762
-884.9150390625,-264.22027587890625,94,1690500761.4662156
-901.369873046875,-231.24847412109375,95,1690500762.0665877
-905.9739379882812,-207.66217041015625,96,1690500762.696626
-904.3627319335938,-177.5836944580078,97,1690500763.2662606
-900.2787475585938,-148.12705993652344,98,1690500763.8660557
-902.2062377929688,-121.87581634521484,99,1690500764.4657993
-297.92529296875,38.004119873046875,0,1690500765.1264586
296.10260009765625,-24.181804656982422,1,1690500765.7262862
271.8587341308594,-30.442739486694336,2,1690500766.3258686
266.8445129394531,-33.0650749206543,3,1690500766.92674
249.8416748046875,-31.80905532836914,4,1690500767.5267618
259.4878845214844,-33.47630310058594,5,1690500768.1260602
241.94725036621094,-31.21401023864746,6,1690500768.6959157
238.3861846923828,-30.936105728149414,7,1690500769.2964325
252.3889617919922,-32.8464241027832,8,1690500769.896249
237.56005859375,-29.835952758789062,9,1690500770.4665263
249.4167022705078,-30.82124137878418,10,1690500771.0665183
229.53855895996094,-27.719615936279297,11,1690500771.666305
238.70272827148438,-28.16500473022461,12,1690500772.266009
248.318603515625,-28.80657386779785,13,1690500772.8665495
243.39552307128906,-27.358924865722656,14,1690500773.4960327
227.7836456298828,-25.014928817749023,15,1690500774.0959918
237.7901611328125,-25.578094482421875,16,1690500774.6960979
220.07049560546875,-23.081600189208984,17,1690500775.2969174
224.68128967285156,-23.09479522705078,18,1690500775.8662925
232.06265258789062,-23.46870231628418,19,1690500776.4655645
239.6754150390625,-23.51901626586914,20,1690500777.0662308
244.6980743408203,-23.91225814819336,21,1690500777.665636
219.02450561523438,-20.866796493530273,22,1690500778.2661798
221.14474487304688,-20.777536392211914,23,1690500778.8660703
226.17567443847656,-20.84532356262207,24,1690500779.465537
231.07522583007812,-20.939743041992188,25,1690500780.065703
238.9644317626953,-21.139066696166992,26,1690500780.6658409
244.27142333984375,-21.038686752319336,27,1690500781.265991
249.0469512939453,-22.33256721496582,28,1690500781.8655837
257.51513671875,-22.387067794799805,29,1690500782.4654818
215.23243713378906,-18.13827896118164,30,1690500783.065756
217.55462646484375,-17.810680389404297,31,1690500783.6662164
219.77828979492188,-17.445859909057617,32,1690500784.2363238
224.99098205566406,-17.33013153076172,33,1690500784.835755
227.2002410888672,-16.9425048828125,34,1690500785.4364648
232.1651153564453,-16.74600601196289,35,1690500786.0364127
237.4621124267578,-16.54667854309082,36,1690500786.6358428
239.69525146484375,-16.11762046813965,37,1690500787.2360644
244.94448852539062,-15.866936683654785,38,1690500787.8362992
250.37298583984375,-15.765188217163086,39,1690500788.4364588
252.1493377685547,-13.888850212097168,40,1690500789.0356035
257.93743896484375,-14.797820091247559,41,1690500789.6360147
257.5486145019531,-14.025519371032715,42,1690500790.2360067
263.75946044921875,-14.780721664428711,43,1690500790.8369951
271.346435546875,-13.143714904785156,44,1690500791.4357738
276.9166259765625,-12.546786308288574,45,1690500792.0359962
282.43597412109375,-11.80982494354248,46,1690500792.6356113
212.19395446777344,-7.876167297363281,47,1690500793.2364757
211.38575744628906,-6.8860907554626465,48,1690500793.835899
210.28179931640625,-5.755144119262695,49,1690500794.435627
210.4062957763672,-6.0310139656066895,50,1690500795.036814
210.85562133789062,-3.4007937908172607,51,1690500795.635457
212.14852905273438,-1.8770992755889893,52,1690500796.2357123
213.49342346191406,-0.2891674339771271,53,1690500796.8360279
214.7360382080078,1.8869510889053345,54,1690500797.4355671
216.652099609375,2.6051855087280273,55,1690500798.0364134
217.8148193359375,5.889753341674805,56,1690500798.635934
219.3735809326172,9.7328462600708,57,1690500799.2362447
228.55087280273438,10.257220268249512,58,1690500799.8354785
239.87684631347656,13.041789054870605,59,1690500800.4352942
252.67344665527344,19.915607452392578,60,1690500801.0354004
265.89727783203125,31.825220108032227,61,1690500801.6361327
278.1297302246094,51.9599609375,62,1690500802.2359114
285.3788146972656,79.56460571289062,63,1690500802.8353925
-284.07220458984375,-109.48841857910156,64,1690500803.4356601
-271.5545959472656,-142.6755828857422,65,1690500804.036015
-253.2853546142578,-170.52981567382812,66,1690500804.6359184
-228.6989288330078,-182.6166229248047,67,1690500805.2354372
-211.24319458007812,-191.36126708984375,68,1690500805.8355205
-200.2092742919922,-191.9186248779297,69,1690500806.4352896
-194.06509399414062,-188.79551696777344,70,1690500807.035713
-196.4070281982422,-201.91160583496094,71,1690500807.6359522
-203.9425506591797,-220.42236328125,72,1690500808.2354636
-216.070556640625,-239.9434814453125,73,1690500808.8655167
-231.5084991455078,-258.2664794921875,74,1690500809.4364839
-252.737060546875,-281.720947265625,75,1690500810.0357883
-282.6202697753906,-308.4466247558594,76,1690500810.635543
-313.29638671875,-331.2044982910156,77,1690500811.2363322
-347.8507995605469,-353.5772399902344,78,1690500811.8354843
-384.9138488769531,-375.495849609375,79,1690500812.436267
-420.353759765625,-392.5425109863281,80,1690500813.0359702
-451.85009765625,-396.62969970703125,81,1690500813.6358914
-493.8172912597656,-411.1614074707031,82,1690500814.205365
-543.91796875,-425.02923583984375,83,1690500814.8055935
-585.33984375,-432.9335632324219,84,1690500815.405977
-636.2108764648438,-435.1058654785156,85,1690500816.0055869
-687.40283203125,-436.58428955078125,86,1690500816.6057992
-684.4739379882812,-404.7361145019531,87,1690500817.2059724
-728.32421875,-390.958740234375,88,1690500817.8059168
