PPG_IR1,PPG_IR2,PPG_G1,PPG_G2,PacketCounter,PacketLoss
24566,23869,144255,145810,2720,0
24593,23901,144224,145801,2740,-10
24579,23889,144199,145801,2750,0
24568,23633,144146,145797,2760,0
24629,23978,144470,145796,2770,0
24587,23908,143980,145766,2790,-10
24623,23958,144180,145676,2800,0
24462,23887,144249,145812,2810,0
24753,23939,144266,145832,2820,0
24587,23943,144214,145759,2830,0
24525,23919,144184,145744,2840,0
24561,23898,144222,145809,2850,0
24623,23920,144229,145817,2860,0
24564,23889,144218,145792,2870,0
24599,23913,144211,145762,2880,0
24612,23924,144228,145809,2890,0
24578,23895,144196,145798,2900,0
24614,23917,144217,145782,2910,0
24589,23906,144199,145788,2920,0
24572,23887,144239,145818,2930,0
24611,23918,144168,145736,2940,0
24586,23889,144225,145815,2950,0
24591,23889,144193,145776,2960,0
24626,23936,144209,145785,2970,0
24604,23963,144209,145789,2980,0
24584,23900,144235,145809,2990,0
24570,23896,144159,145799,3000,0
24600,23926,144452,145806,3010,0
24593,23864,144018,145796,3020,0
24597,23924,144157,145776,3030,0
24588,23908,144211,145756,3040,0
24565,23949,144189,145773,3050,0
24647,23931,144184,145773,3060,0
24650,23917,144176,145751,3070,0
24515,23892,144469,146070,3080,0
25062,24294,149173,150891,3090,0
24939,24325,149172,150905,3100,0
25045,24369,149172,150861,3110,0
25013,24337,149177,150877,3120,0
25004,24335,149188,150894,3130,0
25007,24318,149162,150872,3140,0
24986,24301,149148,150852,3150,0
25008,24327,149177,150873,3160,0
25043,24355,149193,150902,3170,0
25005,24338,149194,150897,3180,0
24973,24297,149215,150918,3190,0
24985,24286,149156,150865,3200,0
24988,24318,149190,150876,3210,0
24989,24325,149163,150874,3220,0
24987,24302,149125,150837,3230,0
24981,24315,149080,150841,3240,0
25036,24354,149151,150841,3250,0
25034,24382,149314,150858,3260,0
24984,24293,149004,150883,3270,0
25010,24321,149179,150874,3280,0
24989,24321,149206,150841,3290,0
24891,24300,149152,150816,3300,0
25261,24357,149146,150848,3310,0
24788,24171,149161,150840,3320,0
24902,24117,149183,150900,3330,0
25040,24317,149126,150854,3340,0
25014,24328,149124,150833,3350,0
25020,24319,149139,150844,3360,0
24979,24296,149152,150877,3370,0
24954,24284,149187,150894,3380,0
24975,24292,149129,150848,3390,0
24996,24319,149100,150825,3400,0
25020,24322,149152,150881,3410,0
24952,24274,149192,150904,3420,0
24996,24311,149128,150843,3430,0
25010,24346,149114,150821,3440,0
24956,24290,149142,150881,3450,0
24993,24325,149123,150847,3460,0
24988,24305,149129,150881,3470,0
25007,24310,149156,150886,3480,0
24971,24303,149085,150885,3490,0
24945,24269,149331,150920,3500,0
24973,24316,149145,150746,3510,0
25007,24313,149003,150840,3520,0
24979,24310,149233,150888,3530,0
24958,24295,149196,150901,3540,0
24925,24317,149120,150827,3550,0
25219,24339,149128,150829,3560,0
24764,24271,149135,150833,3570,0
25028,24321,149113,150801,3580,0
25065,24378,149147,150734,3590,0
25444,24743,149085,150797,3600,0
25410,24692,149143,150872,3610,0
25448,24767,149166,150870,3620,0
25365,24667,149171,150885,3630,0
25379,24686,149152,150839,3640,0
25426,24726,149140,150750,3650,0
25400,24699,149127,150840,3660,0
25427,24720,149127,150862,3670,0
25409,24737,149121,150822,3680,0
25407,24690,149103,150810,3690,0
25443,24745,149134,150852,3700,0
25446,24736,149150,150849,3710,0
25403,24707,149136,150828,3720,0
25400,24716,149112,150833,3730,0
25458,24755,149006,150828,3740,0
25395,24688,149371,150828,3750,0
25427,24729,149041,150890,3760,0
25370,24668,149154,150910,3770,0
25372,24688,149170,150852,3780,0
25342,24722,149103,150783,3790,0
25466,24761,149094,150810,3800,0
25612,24732,149154,150876,3810,0
25190,24705,149085,150806,3820,0
25405,24690,149158,150897,3830,0
25434,24711,149162,150858,3840,0
25390,24674,149116,150828,3850,0
25455,24744,149149,150838,3860,0
25402,24692,149109,150828,3870,0
25435,24752,149119,150758,3880,0
25432,24729,149086,150802,3890,0
25443,24770,149130,150846,3900,0
25417,24707,149110,150748,3910,0
25428,24708,149102,150819,3920,0
25394,24686,149157,150868,3930,0
25435,24730,149094,150797,3940,0
25394,24693,149141,150853,3950,0
25408,24671,149138,150850,3960,0
25400,24689,149086,150800,3970,0
25411,24713,149073,150809,3980,0
25423,24711,149089,150829,3990,0
25417,24719,149276,150823,4000,0
25404,24700,148875,150853,4010,0
25392,24700,149137,150861,4020,0
25404,24718,149115,150848,4030,0
25333,24719,149113,150847,4040,0
25642,24789,149089,150799,4050,0
25379,24708,149105,150821,4060,0
25324,24705,149173,150916,4070,0
25430,24642,149086,150794,4080,0
25487,24767,149113,150757,4090,0
25555,24862,149138,150851,4100,0
25800,25085,149115,150809,4110,0
25796,25084,149140,150814,4120,0
25832,25125,149080,150797,4130,0
25862,25035,149119,150842,4140,0
25857,25145,149080,150826,4150,0
25843,25125,149089,150827,4160,0
25806,25113,149114,150829,4170,0
