Acel_X,Acel_Y,Acel_Z,AngVel_X,AngVel_Y,AngVel_Z,PacketCounter,PacketLoss,Timestamp
-32,-27,7654,-161,-499,-38,1802,10,10:50:07.360878
-29,-27,7638,-161,-497,-37,1812,10,10:50:07.400867
-41,-20,7663,-170,-502,-35,1822,10,10:50:07.442257
-42,-12,7639,-165,-498,-38,1832,10,10:50:07.479779
-43,-32,7659,-163,-497,-33,1842,10,10:50:07.519882
-41,-16,7656,-161,-495,-36,1852,10,10:50:07.560155
-53,-42,7651,-169,-500,-34,1862,10,10:50:07.599901
-36,-35,7653,-166,-494,-41,1872,10,10:50:07.639795
-39,-26,7657,-162,-494,-34,1882,10,10:50:07.680608
-48,-22,7645,-157,-497,-39,1892,10,10:50:07.719864
-39,-30,7649,-167,-500,-41,1902,10,10:50:07.759799
-28,-19,7644,-160,-498,-36,1912,10,10:50:07.800089
-54,-24,7662,-157,-495,-37,1922,10,10:50:07.839892
-42,-19,7654,-163,-495,-32,1932,10,10:50:07.880415
-38,-26,7654,-161,-495,-35,1942,10,10:50:07.920790
-38,-20,7667,-169,-499,-34,1952,10,10:50:07.960920
-40,-21,7651,-163,-491,-40,1962,10,10:50:08.000531
-35,-31,7653,-161,-501,-34,1972,10,10:50:08.040049
-37,-23,7645,-162,-505,-36,1982,10,10:50:08.079942
-34,-25,7654,-169,-497,-32,1992,10,10:50:08.121988
-43,-29,7648,-154,-494,-34,2002,10,10:50:08.160734
-40,-26,7656,-162,-494,-35,2012,10,10:50:08.199924
-45,-33,7650,-163,-501,-37,2022,10,10:50:08.240763
-39,-23,7650,-160,-496,-37,2032,10,10:50:08.280720
-24,-21,7653,-162,-496,-31,2042,10,10:50:08.319986
-42,-23,7650,-161,-498,-34,2052,10,10:50:08.351275
-45,-34,7643,-158,-496,-36,2062,10,10:50:08.400389
-47,-22,7631,-162,-499,-36,2072,10,10:50:08.440862
-41,-25,7646,-168,-496,-32,2082,10,10:50:08.479832
-55,-17,7647,-165,-501,-33,2092,10,10:50:08.520439
-37,-26,7652,-165,-498,-38,2102,10,10:50:08.559811
-45,-37,7648,-164,-502,-41,2112,10,10:50:08.601701
-38,-16,7648,-162,-499,-34,2122,10,10:50:08.640135
-39,-26,7662,-169,-500,-37,2132,10,10:50:08.680682
-40,-32,7642,-161,-494,-36,2142,10,10:50:08.720560
-34,-29,7635,-170,-496,-38,2152,10,10:50:08.759756
-40,-18,7653,-163,-499,-32,2162,10,10:50:08.800652
-33,-19,7656,-162,-496,-40,2172,10,10:50:08.839771
-45,-28,7659,-161,-501,-38,2182,10,10:50:08.880166
-34,-14,7648,-156,-496,-39,2192,10,10:50:08.920284
-46,-24,7659,-170,-498,-35,2202,10,10:50:08.961962
-50,-22,7656,-158,-497,-35,2212,10,10:50:08.999921
-38,-30,7650,-163,-491,-35,2222,10,10:50:09.040877
-40,-18,7656,-161,-501,-36,2232,10,10:50:09.097199
-37,-25,7662,-172,-501,-35,2242,10,10:50:09.120137
-34,-18,7662,-168,-503,-41,2252,10,10:50:09.151055
-48,-18,7644,-170,-502,-35,2262,10,10:50:09.211893
-45,-20,7661,-166,-501,-35,2272,10,10:50:09.230913
-44,-11,7660,-166,-502,-36,2282,10,10:50:09.270563
-44,-36,7642,-163,-502,-37,2292,10,10:50:09.310582
-40,-24,7639,-162,-497,-36,2302,10,10:50:09.351100
-42,-17,7649,-164,-495,-35,2312,10,10:50:09.390993
-52,-13,7641,-165,-499,-37,2322,10,10:50:09.446843
-46,-23,7632,-163,-498,-34,2332,10,10:50:09.471610
-37,-22,7660,-168,-498,-38,2342,10,10:50:09.511503
-60,-25,7651,-163,-501,-34,2352,10,10:50:09.551396
-43,-30,7645,-166,-497,-35,2362,10,10:50:09.591122
-41,-24,7650,-164,-500,-35,2372,10,10:50:09.631016
-50,-26,7656,-164,-501,-35,2382,10,10:50:09.670936
-54,-29,7648,-165,-497,-36,2392,10,10:50:09.710853
-46,-26,7648,-172,-502,-33,2402,10,10:50:09.751366
-46,-17,7650,-169,-496,-34,2412,10,10:50:09.791026
-37,-26,7653,-172,-499,-40,2422,10,10:50:09.830775
-49,-33,7651,-165,-501,-35,2432,10,10:50:09.870546
-49,-33,7646,-162,-500,-37,2442,10,10:50:09.910703
-41,-30,7654,-160,-504,-37,2452,10,10:50:09.950655
-45,-29,7646,-165,-498,-38,2462,10,10:50:09.990720
-43,-37,7645,-165,-497,-36,2472,10,10:50:10.030919
-40,-23,7637,-164,-499,-43,2482,10,10:50:10.071142
-48,-13,7649,-162,-496,-36,2492,10,10:50:10.110761
-35,-35,7649,-160,-498,-38,2502,10,10:50:10.150884
-42,-25,7648,-161,-495,-39,2512,10,10:50:10.190776
-38,-19,7655,-163,-495,-37,2522,10,10:50:10.230942
-31,-35,7642,-164,-501,-36,2532,10,10:50:10.271370
