PPG_IR1,PPG_IR2,PPG_G1,PPG_G2,PacketCounter,PacketLoss,Timestamp
16103,12744,294132,243726,2520,0,11:28:28.941054
16100,12741,294110,243728,2530,0,11:28:28.981240
16102,12742,294131,243726,2540,0,11:28:29.021049
16199,12819,294141,243730,2550,0,11:28:29.060416
17668,13982,294149,243720,2560,0,11:28:29.100688
17668,13984,294156,243730,2570,0,11:28:29.140406
17666,13980,294149,243720,2580,0,11:28:29.190712
17667,13985,294158,243715,2590,0,11:28:29.221435
17668,13981,294162,243722,2600,0,11:28:29.260215
17665,13979,294165,243732,2610,0,11:28:29.300943
17667,13985,294156,243724,2620,0,11:28:29.340888
17668,13981,294166,243729,2630,0,11:28:29.381156
17667,13980,294161,243727,2640,0,11:28:29.421051
17671,13987,294157,243726,2650,0,11:28:29.461431
17664,13980,294156,243726,2660,0,11:28:29.501935
17668,13986,294153,243724,2670,0,11:28:29.550987
17666,13983,294157,243725,2680,0,11:28:29.582021
17667,13984,294151,243720,2690,0,11:28:29.621242
17669,13986,294155,243733,2700,0,11:28:29.660629
17667,13984,294156,243730,2710,0,11:28:29.700911
17664,13984,294155,243733,2720,0,11:28:29.741050
17667,13983,294156,243722,2730,0,11:28:29.780768
17666,13983,294154,243726,2740,0,11:28:29.820313
17669,13986,294151,243718,2750,0,11:28:29.860416
17665,13983,294149,243721,2760,0,11:28:29.900947
17669,13987,294150,243724,2770,0,11:28:29.940889
17668,13985,294150,243726,2780,0,11:28:29.981660
17664,13982,294153,243730,2790,0,11:28:30.020299
17667,13982,294145,243721,2800,0,11:28:30.061008
17666,13982,294147,243727,2810,0,11:28:30.100913
17667,13984,294146,243730,2820,0,11:28:30.141048
17667,13984,294153,243727,2830,0,11:28:30.181686
17667,13985,294153,243724,2840,0,11:28:30.221017
17665,13986,294150,243717,2850,0,11:28:30.260430
17664,13985,294154,243724,2860,0,11:28:30.300932
17667,13987,294148,243714,2870,0,11:28:30.341445
17668,13986,294149,243719,2880,0,11:28:30.382536
17664,13982,294146,243718,2890,0,11:28:30.420446
17664,13984,294138,243710,2900,0,11:28:30.460285
17664,13984,294139,243707,2910,0,11:28:30.501179
17664,13980,294141,243715,2920,0,11:28:30.540604
17665,13978,294143,243718,2930,0,11:28:30.581089
17666,13982,294145,243718,2940,0,11:28:30.620302
17663,13980,294140,243707,2950,0,11:28:30.670485
17664,13980,294147,243714,2960,0,11:28:30.701221
17667,13981,294139,243708,2970,0,11:28:30.741429
17666,13983,294142,243710,2980,0,11:28:30.780833
17664,13982,294141,243710,2990,0,11:28:30.820366
17663,13979,294138,243711,3000,0,11:28:30.860399
17664,13981,294137,243707,3010,0,11:28:30.901039
17663,13980,294144,243715,3020,0,11:28:30.941045
17666,13982,294139,243704,3030,0,11:28:30.981172
17666,13984,294138,243710,3040,0,11:28:31.031353
17667,13982,294142,243712,3050,0,11:28:31.060224
17763,14058,294135,243712,3060,0,11:28:31.101108
19213,15208,294129,243709,3070,0,11:28:31.140636
19211,15209,294126,243705,3080,0,11:28:31.180597
19210,15204,294133,243704,3090,0,11:28:31.220180
19212,15204,294141,243707,3100,0,11:28:31.260672
19216,15210,294124,243698,3110,0,11:28:31.301221
19212,15210,294127,243702,3120,0,11:28:31.340824
19213,15208,294126,243702,3130,0,11:28:31.381136
19211,15204,294134,243702,3140,0,11:28:31.420673
19212,15205,294139,243709,3150,0,11:28:31.460604
19212,15207,294130,243707,3160,0,11:28:31.500264
19213,15207,294129,243702,3170,0,11:28:31.540684
19214,15208,294133,243707,3180,0,11:28:31.580429
19212,15206,294126,243699,3190,0,11:28:31.620718
19211,15207,294122,243691,3200,0,11:28:31.660938
19213,15211,294127,243700,3210,0,11:28:31.701219
19214,15209,294124,243699,3220,0,11:28:31.740806
19214,15210,294126,243697,3230,0,11:28:31.781131
19212,15208,294119,243693,3240,0,11:28:31.820390
19214,15206,294118,243691,3250,0,11:28:31.860296
19212,15207,294115,243687,3260,0,11:28:31.900114
19210,15207,294117,243691,3270,0,11:28:31.940589
19214,15207,294123,243696,3280,0,11:28:31.981195
19211,15207,294120,243695,3290,0,11:28:32.020442
19210,15203,294123,243692,3300,0,11:28:32.060327
19213,15208,294118,243691,3310,0,11:28:32.100221
19210,15204,294120,243692,3320,0,11:28:32.140332
19209,15205,294124,243698,3330,0,11:28:32.181454
19208,15205,294120,243694,3340,0,11:28:32.221091
19208,15201,294121,243693,3350,0,11:28:32.261089
19210,15204,294120,243693,3360,0,11:28:32.301065
19210,15204,294123,243695,3370,0,11:28:32.340776
19210,15203,294122,243700,3380,0,11:28:32.381023
19207,15203,294117,243687,3390,0,11:28:32.420357
19212,15207,294114,243692,3400,0,11:28:32.461048
19208,15200,294112,243687,3410,0,11:28:32.501009
19209,15203,294116,243690,3420,0,11:28:32.541089
19209,15202,294114,243691,3430,0,11:28:32.581399
19207,15201,294116,243693,3440,0,11:28:32.621135
19210,15204,294113,243690,3450,0,11:28:32.660492
19209,15203,294119,243687,3460,0,11:28:32.700275
19212,15205,294119,243690,3470,0,11:28:32.740307
19224,15207,294112,243690,3480,0,11:28:32.781036
19228,15206,294111,243681,3490,0,11:28:32.820411
19230,15210,294108,243682,3500,0,11:28:32.860855
19222,15207,294109,243687,3510,0,11:28:32.900955
19232,15209,294113,243688,3520,0,11:28:32.941182
19219,15207,294114,243689,3530,0,11:28:32.981385
19218,15208,294116,243690,3540,0,11:28:33.020692
19223,15206,294116,243686,3550,0,11:28:33.060273
19214,15204,294109,243685,3560,0,11:28:33.101164
19312,15284,294106,243683,3570,0,11:28:33.140175
20756,16429,294108,243674,3580,0,11:28:33.181421
20755,16426,294107,243677,3590,0,11:28:33.220712
20741,16429,294106,243681,3600,0,11:28:33.260664
20733,16431,294105,243677,3610,0,11:28:33.301263
20769,16429,294103,243683,3620,0,11:28:33.340686
20752,16430,294102,243682,3630,0,11:28:33.381555
20762,16427,294097,243672,3640,0,11:28:33.420307
20762,16424,294106,243679,3650,0,11:28:33.460332
20757,16425,294097,243678,3660,0,11:28:33.500224
20755,16426,294102,243675,3670,0,11:28:33.540795
20733,16427,294101,243676,3680,0,11:28:33.581089
20743,16427,294100,243676,3690,0,11:28:33.621101
20674,16429,294095,243675,3700,0,11:28:33.661152
20724,16430,294102,243673,3710,0,11:28:33.701176
20737,16434,294098,243674,3720,0,11:28:33.740088
20747,16431,294102,243673,3730,0,11:28:33.780872
20743,16431,294102,243675,3740,0,11:28:33.820330
20749,16430,294096,243671,3750,0,11:28:33.860851
20756,16429,294098,243673,3760,0,11:28:33.900288
20761,16429,294100,243669,3770,0,11:28:33.940512
20833,16432,294097,243671,3780,0,11:28:33.981346
20813,16433,294094,243668,3790,0,11:28:34.020317
20819,16434,294094,243667,3800,0,11:28:34.060646
20808,16434,294103,243676,3810,0,11:28:34.101138
20777,16429,294098,243676,3820,0,11:28:34.140885
20767,16428,294100,243671,3830,0,11:28:34.181316
20763,16429,294092,243659,3840,0,11:28:34.221038
20748,16430,294094,243676,3850,0,11:28:34.260429
20698,16428,294098,243673,3860,0,11:28:34.300711
20716,16424,294100,243669,3870,0,11:28:34.340349
20729,16425,294107,243667,3880,0,11:28:34.381053
20729,16426,294139,243672,3890,0,11:28:34.421234
20741,16426,294122,243675,3900,0,11:28:34.460545
20748,16428,294111,243675,3910,0,11:28:34.500454
20748,16429,294111,243666,3920,0,11:28:34.541146
20752,16430,294105,243671,3930,0,11:28:34.580782
20752,16428,294111,243675,3940,0,11:28:34.620625
20756,16431,294100,243667,3950,0,11:28:34.660369
20754,16426,294104,243669,3960,0,11:28:34.701056
20754,16424,294095,243669,3970,0,11:28:34.740313
20757,16428,294075,243674,3980,0,11:28:34.781402
20756,16430,294093,243675,3990,0,11:28:34.820456
20757,16428,294089,243672,4000,0,11:28:34.860943
20753,16428,294105,243676,4010,0,11:28:34.901175
20752,16423,294104,243673,4020,0,11:28:34.940246
20753,16428,294095,243670,4030,0,11:28:34.980462
20756,16428,294103,243665,4040,0,11:28:35.020227
20755,16424,294096,243669,4050,0,11:28:35.060199
20756,16425,294051,243660,4060,0,11:28:35.100693
20755,16428,294067,243659,4070,0,11:28:35.140281
20853,16503,294050,243657,4080,0,11:28:35.181407
22324,17671,294058,243658,4090,0,11:28:35.220229
22328,17673,294046,243661,4100,0,11:28:35.260067
22326,17668,294083,243665,4110,0,11:28:35.300961
22325,17674,294084,243659,4120,0,11:28:35.340126
22324,17670,294085,243660,4130,0,11:28:35.380975
22329,17672,294092,243662,4140,0,11:28:35.420546
22325,17674,294162,243665,4150,0,11:28:35.461037
22326,17673,294156,243667,4160,0,11:28:35.501297
22333,17675,294163,243661,4170,0,11:28:35.540987
22331,17677,294151,243659,4180,0,11:28:35.580983
22332,17678,294115,243654,4190,0,11:28:35.620787
22333,17679,294097,243645,4200,0,11:28:35.660361
22329,17675,294086,243655,4210,0,11:28:35.700529
22327,17677,294081,243654,4220,0,11:28:35.740478
22329,17677,294085,243659,4230,0,11:28:35.781191
22328,17673,294039,243658,4240,0,11:28:35.820956
22328,17674,294054,243658,4250,0,11:28:35.860091
22330,17675,294053,243658,4260,0,11:28:35.901387
22326,17670,294065,243653,4270,0,11:28:35.941009
22325,17671,294068,243648,4280,0,11:28:35.980876
22326,17671,294073,243653,4290,0,11:28:36.020316
22326,17668,294072,243656,4300,0,11:28:36.061069
22328,17674,294079,243651,4310,0,11:28:36.100975
22327,17673,294085,243654,4320,0,11:28:36.140411
22326,17673,294082,243659,4330,0,11:28:36.181182
22325,17672,294079,243662,4340,0,11:28:36.220197
22325,17671,294082,243655,4350,0,11:28:36.260615
22325,17670,294087,243656,4360,0,11:28:36.301221
22328,17672,294078,243655,4370,0,11:28:36.341098
22322,17667,294070,243648,4380,0,11:28:36.381510
22324,17668,294075,243658,4390,0,11:28:36.421172
22324,17669,294074,243647,4400,0,11:28:36.460306
22321,17664,294069,243645,4410,0,11:28:36.500200
22327,17671,294066,243641,4420,0,11:28:36.540093
22325,17671,294073,243639,4430,0,11:28:36.580881
22322,17668,294076,243646,4440,0,11:28:36.620294
22328,17672,294066,243638,4450,0,11:28:36.661184
22328,17673,294071,243643,4460,0,11:28:36.701104
22328,17674,294068,243641,4470,0,11:28:36.740656
22324,17666,294073,243646,4480,0,11:28:36.781207
22322,17664,294064,243638,4490,0,11:28:36.820476
22326,17668,294068,243639,4500,0,11:28:36.861225
22323,17669,294070,243641,4510,0,11:28:36.900798
22323,17667,294070,243643,4520,0,11:28:36.940997
22323,17670,294069,243643,4530,0,11:28:36.981362
22323,17669,294068,243642,4540,0,11:28:37.020338
22323,17671,294061,243639,4550,0,11:28:37.060176
22326,17670,294067,243646,4560,0,11:28:37.101079
22324,17669,294066,243646,4570,0,11:28:37.140275
22325,17672,294069,243641,4580,0,11:28:37.181347
22420,17744,294065,243642,4590,0,11:28:37.221032
23900,18916,294067,243637,4600,0,11:28:37.260745
23897,18913,294066,243643,4610,0,11:28:37.300348
23895,18915,294071,243650,4620,0,11:28:37.340891
23900,18922,294069,243644,4630,0,11:28:37.381142
23901,18916,294074,243640,4640,0,11:28:37.421019
23900,18920,294068,243646,4650,0,11:28:37.460485
23898,18920,294065,243640,4660,0,11:28:37.500556
23899,18916,294060,243634,4670,0,11:28:37.540408
23901,18920,294061,243632,4680,0,11:28:37.580799
23897,18913,294057,243635,4690,0,11:28:37.620915
23897,18913,294065,243639,4700,0,11:28:37.660446
23899,18920,294055,243635,4710,0,11:28:37.701043
23898,18917,294063,243633,4720,0,11:28:37.740926
23898,18914,294060,243630,4730,0,11:28:37.781383
23895,18915,294054,243632,4740,0,11:28:37.820181
23896,18915,294065,243634,4750,0,11:28:37.861075
23895,18916,294060,243633,4760,0,11:28:37.900595
23897,18912,294065,243638,4770,0,11:28:37.941038
23895,18914,294055,243628,4780,0,11:28:37.981183
23898,18913,294053,243636,4790,0,11:28:38.021369
23899,18917,294059,243631,4800,0,11:28:38.070283
23897,18915,294057,243630,4810,0,11:28:38.101416
23898,18917,294053,243629,4820,0,11:28:38.140998
23895,18910,294058,243634,4830,0,11:28:38.181618
23896,18912,294054,243629,4840,0,11:28:38.222011
23896,18913,294061,243640,4850,0,11:28:38.260471
23896,18910,294058,243636,4860,0,11:28:38.300135
23896,18913,294061,243640,4870,0,11:28:38.340246
23894,18913,294060,243638,4880,0,11:28:38.381484
23899,18919,294057,243627,4890,0,11:28:38.420366
23898,18919,294060,243633,4900,0,11:28:38.460995
23895,18917,294053,243628,4910,0,11:28:38.501397
23900,18921,294056,243632,4920,0,11:28:38.550777
23897,18914,294062,243637,4930,0,11:28:38.581986
23899,18918,294059,243626,4940,0,11:28:38.620995
23895,18917,294057,243625,4950,0,11:28:38.660403
23895,18916,294059,243628,4960,0,11:28:38.700993
23898,18918,294049,243617,4970,0,11:28:38.740263
23898,18920,294056,243636,4980,0,11:28:38.782004
23899,18918,294053,243623,4990,0,11:28:38.820379
23900,18922,294044,243617,5000,0,11:28:38.861001
23902,18920,294058,243627,5010,0,11:28:38.900979
23900,18918,294050,243616,5020,0,11:28:38.940214
23901,18919,294050,243620,5030,0,11:28:38.981133
23897,18916,294045,243619,5040,0,11:28:39.020998
23898,18918,294051,243629,5050,0,11:28:39.061012
23896,18913,294050,243623,5060,0,11:28:39.100795
23896,18912,294050,243620,5070,0,11:28:39.140955
23901,18915,294052,243622,5080,0,11:28:39.181316
23895,18908,294046,243615,5090,0,11:28:39.220170
23993,18991,294050,243621,5100,0,11:28:39.261106
25490,20174,294045,243621,5110,0,11:28:39.300745
25488,20176,294053,243630,5120,0,11:28:39.341023
25491,20176,294045,243623,5130,0,11:28:39.381142
25492,20174,294042,243617,5140,0,11:28:39.420260
25489,20175,294048,243620,5150,0,11:28:39.460925
25487,20175,294046,243623,5160,0,11:28:39.501408
25486,20172,294048,243623,5170,0,11:28:39.540967
25488,20174,294048,243622,5180,0,11:28:39.580572
25490,20176,294042,243619,5190,0,11:28:39.621011
25494,20174,294039,243619,5200,0,11:28:39.660964
25498,20174,294043,243618,5210,0,11:28:39.701154
25504,20176,294049,243625,5220,0,11:28:39.740171
25512,20174,294040,243611,5230,0,11:28:39.781106
25502,20179,294039,243621,5240,0,11:28:39.821023
25497,20179,294035,243616,5250,0,11:28:39.860400
25495,20180,294041,243617,5260,0,11:28:39.900993
25492,20181,294041,243620,5270,0,11:28:39.941264
25494,20184,294036,243620,5280,0,11:28:39.982106
25487,20178,294039,243618,5290,0,11:28:40.020533
25477,20181,294041,243620,5300,0,11:28:40.061023
25448,20180,294032,243614,5310,0,11:28:40.100372
25501,20180,294040,243617,5320,0,11:28:40.140992
25491,20180,294029,243606,5330,0,11:28:40.181130
25489,20179,294032,243614,5340,0,11:28:40.220995
25497,20177,294042,243618,5350,0,11:28:40.260267
25492,20173,294047,243618,5360,0,11:28:40.300993
25492,20178,294038,243611,5370,0,11:28:40.341379
25484,20173,294039,243616,5380,0,11:28:40.381652
25462,20175,294037,243606,5390,0,11:28:40.420402
25455,20172,294040,243618,5400,0,11:28:40.461015
25462,20178,294038,243604,5410,0,11:28:40.501240
25445,20172,294032,243613,5420,0,11:28:40.540988
25459,20171,294029,243602,5430,0,11:28:40.580850
25461,20174,294035,243611,5440,0,11:28:40.620990
25481,20176,294035,243607,5450,0,11:28:40.660357
25479,20172,294037,243612,5460,0,11:28:40.701020
