ENMO,PacketCounter,TimeStamp
0.0,31712,11:30:25.651252
0.0,31962,11:30:26.650930
0.0,32212,11:30:27.650853
0.0,32462,11:30:28.650927
0.0,32712,11:30:29.641004
0.0,-32574,11:30:30.640990
0.0,-32324,11:30:31.640915
0.0,-32074,11:30:32.640505
0.0,-31824,11:30:33.641019
0.0,-31574,11:30:34.640922
0.0,-31324,11:30:35.640867
0.0,-31074,11:30:36.640986
0.0,-30824,11:30:37.641159
0.0,-30574,11:30:38.641121
0.0,-30324,11:30:39.641018
0.0,-30074,11:30:40.640909
0.0,-29824,11:30:41.640962
0.0,-29574,11:30:42.640033
0.0,-29324,11:30:43.640924
0.0,-29074,11:30:44.641012
0.0,-28824,11:30:45.640801
0.0,-28574,11:30:46.640887
0.0,-28324,11:30:47.631325
0.0,-28074,11:30:48.631185
0.0,-27824,11:30:49.630918
0.0,-27574,11:30:50.630793
0.0,-27324,11:30:51.630958
0.0,-27074,11:30:52.631104
0.0,-26824,11:30:53.630684
0.0,-26574,11:30:54.630851
0.0,-26324,11:30:55.631118
0.0,-26074,11:30:56.630875
0.0,-25824,11:30:57.630828
0.0,-25574,11:30:58.630993
0.0,-25324,11:30:59.630658
0.0,-25074,11:31:00.630913
0.0,-24824,11:31:01.630650
0.0,-24574,11:31:02.631228
0.0,-24324,11:31:03.631024
0.0,-24074,11:31:04.621122
0.0,-23824,11:31:05.621178
0.0,-23574,11:31:06.621455
0.0,-23324,11:31:07.620989
0.0,-23074,11:31:08.620927
0.0,-22824,11:31:09.621483
0.0,-22574,11:31:10.620839
0.0,-22324,11:31:11.621498
0.0,-22074,11:31:12.620958
0.0,-21824,11:31:13.620808
0.0,-21574,11:31:14.620678
0.0,-21324,11:31:15.620885
0.0,-21074,11:31:16.621182
0.0,-20824,11:31:17.621193
0.0,-20574,11:31:18.620287
